L1,L2,L3,Problem,Archetype_ID,Archetype_Name
Residential,Single-Family Residential,Owner-Occupied,"Households lose money due to recurring overpayment and leakage in repairs, utilities, and contractor pricing without consistent cost control",02,Cost / Leakage
Residential,Single-Family Residential,Short-Term Rental,Operators lose revenue due to recurring pricing and availability misalignment relative to local demand and seasonality,10,Pricing / Discovery
Residential,Single-Family Residential,Short-Term Rental,"Operators lose time and experience operational stress due to recurring coordination failures between guests, cleaning, and maintenance",03,Coordination
Residential,Specialized Residential,Co-Living,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Residential,Specialized Residential,Co-Living,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Residential,Specialized Residential,Gated Communities,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Residential,Specialized Residential,Gated Communities,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Residential,Specialized Residential,Micro-Apartments,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Residential,Specialized Residential,Micro-Apartments,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Retail / Shopping Centers,High Street / Street Retail,Prime High Street,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Retail / Shopping Centers,High Street / Street Retail,Prime High Street,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Retail / Shopping Centers,High Street / Street Retail,Secondary Street Retail,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Retail / Shopping Centers,High Street / Street Retail,Secondary Street Retail,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Retail / Shopping Centers,Neighborhood / Community Centers,Convenience Retail,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Retail / Shopping Centers,Neighborhood / Community Centers,Convenience Retail,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Retail / Shopping Centers,Neighborhood / Community Centers,Daily-Needs Retail,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Retail / Shopping Centers,Neighborhood / Community Centers,Daily-Needs Retail,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Retail / Shopping Centers,Power Centers,Anchored Retail,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Retail / Shopping Centers,Power Centers,Anchored Retail,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Retail / Shopping Centers,Power Centers,Big-Box Retail,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Retail / Shopping Centers,Power Centers,Big-Box Retail,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Retail / Shopping Centers,Shopping Malls,Regional Mall,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Retail / Shopping Centers,Shopping Malls,Regional Mall,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Retail / Shopping Centers,Shopping Malls,Super-Regional Mall,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Retail / Shopping Centers,Shopping Malls,Super-Regional Mall,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Data Centers,Enterprise Data Centers,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Data Centers,Enterprise Data Centers,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Data Centers,Hyperscale Data Centers,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Data Centers,Hyperscale Data Centers,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Healthcare Real Estate,Medical Office Buildings,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Healthcare Real Estate,Medical Office Buildings,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Healthcare Real Estate,Senior Care Facilities,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Healthcare Real Estate,Senior Care Facilities,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Hospitality,Hotels,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Hospitality,Hotels,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Hospitality,Resorts,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Hospitality,Resorts,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Life Sciences / Lab,Biotech Campuses,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Life Sciences / Lab,Biotech Campuses,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Life Sciences / Lab,Research Labs,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Life Sciences / Lab,Research Labs,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Manufactured Housing,Manufactured Home Communities,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Manufactured Housing,Manufactured Home Communities,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Self-Storage,Suburban Self-Storage,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Self-Storage,Suburban Self-Storage,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
Specialty Real Estate,Self-Storage,Urban Self-Storage,Operators lose time due to recurring manual operational workflows,01,Time / Speed
Specialty Real Estate,Self-Storage,Urban Self-Storage,Operators lose money due to recurring cost leakage without standardized controls,02,Cost / Leakage
